id,no_mask,yes_mask 
16035,0.276,0.725
16037,0.297,0.702
16039,0.288,0.712
16041,0.334,0.666
16043,0.519,0.48
16045,0.366,0.634
16047,0.502,0.498
16049,0.303,0.698
16051,0.499,0.501
16053,0.49,0.51
16055,0.421,0.579
16057,0.08,0.92
16059,0.513,0.487
16061,0.257,0.744
16063,0.485,0.514
16065,0.504,0.495
16067,0.459,0.542
16069,0.156,0.843
16071,0.409,0.591
16073,0.406,0.594
16075,0.454,0.546
16077,0.435,0.566
16079,0.511,0.489
16081,0.478,0.522
16083,0.489,0.512
16085,0.261,0.739
16087,0.59,0.411
17001,0.461,0.54
17003,0.34,0.66
17005,0.233,0.767
17007,0.096,0.904
17009,0.415,0.585
17011,0.187,0.813
17013,0.361,0.639
17015,0.214,0.786
17017,0.373,0.628
17019,0.147,0.853
17021,0.207,0.793
17023,0.323,0.677
17025,0.322,0.678
17027,0.248,0.753
17029,0.368,0.632
17031,0.116,0.884
17033,0.389,0.611
17035,0.364,0.636
17037,0.053,0.947
17039,0.214,0.787
17041,0.214,0.785
17043,0.076,0.923
17045,0.395,0.606
17047,0.467,0.534
17049,0.358,0.642
17051,0.301,0.699
17053,0.26,0.739
17055,0.384,0.616
17057,0.357,0.643
17059,0.389,0.611
17061,0.274,0.725
17063,0.217,0.782
17065,0.417,0.583
17067,0.426,0.574
17069,0.47,0.531
17071,0.241,0.759
17073,0.2,0.8
17075,0.334,0.666
17077,0.295,0.705
17079,0.365,0.634
17081,0.328,0.672
17083,0.277,0.722
17085,0.358,0.643
17087,0.363,0.637
17089,0.087,0.913
17091,0.224,0.776
17093,0.075,0.924
17095,0.26,0.74
17097,0.084,0.915
17099,0.177,0.823
17101,0.459,0.541
17103,0.125,0.874
17105,0.257,0.744
17107,0.321,0.679
17109,0.229,0.772
17111,0.108,0.892
17113,0.238,0.762
17115,0.166,0.835
17117,0.212,0.788
17119,0.163,0.837
17121,0.294,0.706
17123,0.264,0.736
17125,0.561,0.439
17127,0.372,0.629
17129,0.287,0.712
17131,0.215,0.786
17133,0.155,0.844
17135,0.159,0.841
17137,0.289,0.711
17139,0.367,0.633
17141,0.227,0.773
17143,0.171,0.828
17145,0.251,0.75
17147,0.115,0.886
17149,0.435,0.565
17151,0.371,0.629
17153,0.37,0.63
17155,0.214,0.786
17157,0.157,0.843
17159,0.369,0.631
17161,0.169,0.831
17163,0.096,0.905
17165,0.334,0.666
17167,0.202,0.797
17169,0.384,0.615
17171,0.318,0.682
17173,0.285,0.714
17175,0.172,0.827
17177,0.136,0.866
17179,0.225,0.775
17181,0.34,0.661
17183,0.23,0.77
17185,0.462,0.537
17187,0.203,0.798
17189,0.217,0.783
17191,0.356,0.645
17193,0.429,0.571
17195,0.133,0.867
17197,0.127,0.873
17199,0.353,0.647
17201,0.15,0.85
17203,0.241,0.759
18001,0.343,0.657
18003,0.309,0.692
18005,0.307,0.692
18007,0.32,0.679
18009,0.351,0.65
18011,0.279,0.721
18013,0.157,0.844
18015,0.333,0.667
18017,0.512,0.489
18019,0.269,0.729
18021,0.307,0.692
18023,0.253,0.747
18025,0.274,0.726
18027,0.24,0.76
18029,0.351,0.648
18031,0.359,0.641
18033,0.301,0.699
18035,0.328,0.672
18037,0.201,0.8
18039,0.221,0.78
18041,0.25,0.751
18043,0.293,0.707
18045,0.313,0.686
18047,0.256,0.744
18049,0.384,0.616
18051,0.394,0.606
18053,0.294,0.704
